size_kb,decompress_time_sec
10600.000,3.541
10610.000,3.586
10620.000,3.604
10630.000,3.582
10640.000,3.532
10650.000,3.535
10660.000,3.598
10670.000,3.529
10680.000,3.505
10690.000,3.537
10700.000,3.528
10710.000,3.538
10720.000,3.532
10730.000,3.513
10740.000,3.510
10750.000,3.663
10760.000,3.575
10770.000,3.569
10780.000,3.619
10790.000,3.543
10800.000,3.659
10810.000,3.634
10820.000,3.528
10830.000,3.583
10840.000,3.655
10850.000,3.671
10860.000,3.608
10870.000,3.636
10880.000,3.571
10890.000,3.705
10900.000,3.593
10910.000,3.709
10920.000,3.666
10930.000,3.662
10940.000,3.652
10950.000,3.600
10960.000,3.599
10970.000,3.612
10980.000,3.604
10990.000,3.697
11000.000,3.631
11010.000,3.588
11020.000,3.737
11030.000,3.731
11040.000,3.740
11050.000,3.747
11060.000,3.627
11070.000,3.660
11080.000,3.715
11090.000,3.712
11100.000,3.625
11110.000,3.729
11120.000,3.637
11130.000,3.644
11140.000,3.691
11150.000,3.700
11160.000,3.711
11170.000,3.629
11180.000,3.764
11190.000,3.670
11200.000,3.650
11210.000,3.777
11220.000,3.803
11230.000,3.791
11240.000,3.791
11250.000,3.769
11260.000,3.765
11270.000,3.693
11280.000,3.744
11290.000,3.743
11300.000,3.735
11310.000,3.810
11320.000,3.776
11330.000,3.714
11340.000,3.741
11350.000,3.815
11360.000,3.730
11370.000,3.857
11380.000,3.801
11390.000,3.804
11400.000,3.825
11410.000,3.874
11420.000,3.794
11430.000,3.849
11440.000,3.831
11450.000,3.786
11460.000,3.888
11470.000,3.872
11480.000,3.848
11490.000,3.888
11500.000,3.897
11510.000,3.880
11520.000,3.902
11530.000,3.885
11540.000,3.879
11550.000,3.873
11560.000,3.897
11570.000,3.805
11580.000,3.925
11590.000,3.931
11600.000,3.805
11610.000,3.934
11620.000,3.821
11630.000,3.849
11640.000,3.920
11650.000,3.830
11660.000,3.934
11670.000,3.930
11680.000,3.887
11690.000,3.807
11700.000,3.854
11710.000,3.909
11720.000,3.979
11730.000,3.925
11740.000,3.867
11750.000,3.923
11760.000,3.920
11770.000,3.962
11780.000,3.848
11790.000,3.957
11800.000,3.924
11810.000,4.001
11820.000,3.900
11830.000,3.943
11840.000,3.989
11850.000,3.860
11860.000,3.995
11870.000,3.958
11880.000,3.860
11890.000,3.906
11900.000,3.973
11910.000,3.878
11920.000,3.968
11930.000,3.933
11940.000,3.974
11950.000,3.886
11960.000,4.020
11970.000,4.029
11980.000,4.031
11990.000,3.996
12000.000,3.899
12010.000,4.003
12020.000,3.890
12030.000,3.881
12040.000,3.933
12050.000,3.960
12060.000,4.006
12070.000,3.991
12080.000,3.960
12090.000,3.940
12100.000,4.057
12110.000,3.963
12120.000,3.969
12130.000,3.925
12140.000,4.028
12150.000,4.019
12160.000,3.949
12170.000,3.920
12180.000,4.015
12190.000,4.019
12200.000,3.959
12210.000,4.062
12220.000,3.932
12230.000,3.985
12240.000,4.075
12250.000,3.997
12260.000,4.030
12270.000,3.999
12280.000,3.979
12290.000,4.091
12300.000,3.996
12310.000,4.082
12320.000,3.973
12330.000,3.969
12340.000,3.933
12350.000,4.037
12360.000,3.994
12370.000,4.080
12380.000,4.021
12390.000,4.104
12400.000,3.977
12410.000,4.083
12420.000,4.071
12430.000,4.078
12440.000,4.096
12450.000,4.084
12460.000,4.064
12470.000,3.989
12480.000,3.979
12490.000,4.120
12500.000,4.074
12510.000,4.117
12520.000,4.070
12530.000,4.006
12540.000,4.016
12550.000,4.109
12560.000,4.070
12570.000,4.032
12580.000,4.079
12590.000,4.018
12600.000,4.102
12610.000,4.061
12620.000,4.146
12630.000,4.081
12640.000,4.111
12650.000,4.043
12660.000,4.056
12670.000,4.114
12680.000,4.126
12690.000,4.152
12700.000,4.104
12710.000,4.172
12720.000,4.201
12730.000,4.188
12740.000,4.072
12750.000,4.149
12760.000,4.093
12770.000,4.117
12780.000,4.247
12790.000,4.120
12800.000,4.176
12810.000,4.192
12820.000,4.207
12830.000,4.186
12840.000,4.107
12850.000,4.164
12860.000,4.199
12870.000,4.138
12880.000,4.179
12890.000,4.131
12900.000,4.139
12910.000,4.191
12920.000,4.156
12930.000,4.231
12940.000,4.258
12950.000,4.273
12960.000,4.179
12970.000,4.181
12980.000,4.179
12990.000,4.269
13000.000,4.280
13010.000,4.176
13020.000,4.324
13030.000,4.181
13040.000,4.256
13050.000,4.286
13060.000,4.307
13070.000,4.285
13080.000,4.298
13090.000,4.230
13100.000,4.314
13110.000,4.206
13120.000,4.333
13130.000,4.288
13140.000,4.333
13150.000,4.282
13160.000,4.311
13170.000,4.298
13180.000,4.335
13190.000,4.228
13200.000,4.227
13210.000,4.253
13220.000,4.242
13230.000,4.365
13240.000,4.261
13250.000,4.385
13260.000,4.290
13270.000,4.265
13280.000,4.373
13290.000,4.356
13300.000,4.333
13310.000,4.350
13320.000,4.373
13330.000,4.297
13340.000,4.421
13350.000,4.413
13360.000,4.364
13370.000,4.297
13380.000,4.378
13390.000,4.283
13400.000,4.278
13410.000,4.324
13420.000,4.353
13430.000,4.423
13440.000,4.399
13450.000,4.404
13460.000,4.357
13470.000,4.341
13480.000,4.349
13490.000,4.449
13500.000,4.298
13510.000,4.428
13520.000,4.390
13530.000,4.372
13540.000,4.426
13550.000,4.384
13560.000,4.449
13570.000,4.459
13580.000,4.389
13590.000,4.361
13600.000,4.410
13610.000,4.468
13620.000,4.363
13630.000,4.432
13640.000,4.431
13650.000,4.444
13660.000,4.349
13670.000,4.446
13680.000,4.476
13690.000,4.366
13700.000,4.379
13710.000,4.500
13720.000,4.378
13730.000,4.487
13740.000,4.433
13750.000,4.391
13760.000,4.494
13770.000,4.421
13780.000,4.430
13790.000,4.403
13800.000,4.445
13810.000,4.383
13820.000,4.424
13830.000,4.518
13840.000,4.413
13850.000,4.486
13860.000,4.432
13870.000,4.510
13880.000,4.414
13890.000,4.556
13900.000,4.476
13910.000,4.445
13920.000,4.414
13930.000,4.435
13940.000,4.497
13950.000,4.470
13960.000,4.551
13970.000,4.491
13980.000,4.468
13990.000,4.528
14000.000,4.546
14010.000,4.463
14020.000,4.471
14030.000,4.456
14040.000,4.571
14050.000,4.557
14060.000,4.532
14070.000,4.588
14080.000,4.593
14090.000,4.554
14100.000,4.598
14110.000,4.495
14120.000,4.477
14130.000,4.500
14140.000,4.467
14150.000,4.550
14160.000,4.624
14170.000,4.489
14180.000,4.502
14190.000,4.556
14200.000,4.635
14210.000,4.535
14220.000,4.565
14230.000,4.495
14240.000,4.510
14250.000,4.641
14260.000,4.636
14270.000,4.488
14280.000,4.649
14290.000,4.595
14300.000,4.639
14310.000,4.571
14320.000,4.589
14330.000,4.575
14340.000,4.599
14350.000,4.516
14360.000,4.507
14370.000,4.553
14380.000,4.619
14390.000,4.542
14400.000,4.619
14410.000,4.668
14420.000,4.530
