size_kb,decompress_time_sec
13440.000,3.808
13450.000,3.803
13460.000,3.805
13470.000,3.790
13480.000,3.805
13490.000,3.792
13500.000,3.769
13510.000,3.771
13520.000,3.770
13530.000,3.780
13540.000,3.778
13550.000,3.782
13560.000,3.810
13570.000,3.832
13580.000,3.829
13590.000,3.848
13600.000,3.864
13610.000,3.881
13620.000,3.868
13630.000,3.851
13640.000,3.833
13650.000,3.832
13660.000,3.833
13670.000,3.846
13680.000,3.846
13690.000,3.864
13700.000,3.858
13710.000,3.861
13720.000,3.881
13730.000,3.885
13740.000,3.891
13750.000,3.895
13760.000,3.897
13770.000,3.892
13780.000,3.897
13790.000,3.885
13800.000,3.917
13810.000,3.911
13820.000,3.917
13830.000,3.906
13840.000,3.903
13850.000,3.904
13860.000,3.900
13870.000,3.906
13880.000,3.913
13890.000,3.929
13900.000,3.935
13910.000,3.935
13920.000,3.927
13930.000,3.921
13940.000,3.918
13950.000,3.934
13960.000,3.935
13970.000,3.934
13980.000,3.941
13990.000,3.958
14000.000,3.972
14010.000,3.971
14020.000,3.994
14030.000,3.983
14040.000,3.988
14050.000,3.952
14060.000,3.950
14070.000,3.933
14080.000,3.953
14090.000,3.960
14100.000,3.971
14110.000,3.960
14120.000,3.979
14130.000,3.995
14140.000,3.989
14150.000,3.993
14160.000,3.991
14170.000,4.010
14180.000,4.024
14190.000,4.035
14200.000,4.025
14210.000,4.027
14220.000,4.045
14230.000,4.028
14240.000,4.025
14250.000,4.015
14260.000,4.023
14270.000,4.019
14280.000,4.022
14290.000,4.039
14300.000,4.060
14310.000,4.059
14320.000,4.076
14330.000,4.056
14340.000,4.060
14350.000,4.039
14360.000,4.068
14370.000,4.060
14380.000,4.055
14390.000,4.064
14400.000,4.054
14410.000,4.044
14420.000,4.043
14430.000,4.042
14440.000,4.043
14450.000,4.059
14460.000,4.044
14470.000,4.030
14480.000,4.044
14490.000,4.035
14500.000,4.039
14510.000,4.028
14520.000,4.023
14530.000,4.025
14540.000,4.012
14550.000,4.013
14560.000,4.027
14570.000,4.012
14580.000,4.031
14590.000,4.018
14600.000,4.036
14610.000,4.010
14620.000,4.004
14630.000,4.013
14640.000,4.018
14650.000,4.030
14660.000,4.046
14670.000,4.049
14680.000,4.039
14690.000,4.022
14700.000,4.022
14710.000,4.037
14720.000,4.028
14730.000,4.017
14740.000,4.033
14750.000,4.033
14760.000,4.043
14770.000,4.058
14780.000,4.059
14790.000,4.073
14800.000,4.071
14810.000,4.068
14820.000,4.070
14830.000,4.061
14840.000,4.065
14850.000,4.051
14860.000,4.060
14870.000,4.077
14880.000,4.082
14890.000,4.095
14900.000,4.108
14910.000,4.098
14920.000,4.090
14930.000,4.111
14940.000,4.137
14950.000,4.142
14960.000,4.129
14970.000,4.147
14980.000,4.151
14990.000,4.161
15000.000,4.180
15010.000,4.167
15020.000,4.151
15030.000,4.176
15040.000,4.177
15050.000,4.174
15060.000,4.177
15070.000,4.182
15080.000,4.190
15090.000,4.220
15100.000,4.243
15110.000,4.254
15120.000,4.245
15130.000,4.239
15140.000,4.233
15150.000,4.243
15160.000,4.263
15170.000,4.260
15180.000,4.258
15190.000,4.235
15200.000,4.238
15210.000,4.242
15220.000,4.231
15230.000,4.248
15240.000,4.228
15250.000,4.225
15260.000,4.252
15270.000,4.257
15280.000,4.254
15290.000,4.264
15300.000,4.265
15310.000,4.249
15320.000,4.278
15330.000,4.269
15340.000,4.264
15350.000,4.279
15360.000,4.272
15370.000,4.272
15380.000,4.269
15390.000,4.250
15400.000,4.246
15410.000,4.249
15420.000,4.253
15430.000,4.259
15440.000,4.276
15450.000,4.276
15460.000,4.294
15470.000,4.298
15480.000,4.299
15490.000,4.318
15500.000,4.326
15510.000,4.319
15520.000,4.320
15530.000,4.312
15540.000,4.295
15550.000,4.319
15560.000,4.339
15570.000,4.335
15580.000,4.362
15590.000,4.341
15600.000,4.314
